"ID","INCIDENT_NUMBER","DATE_REPORTED","DATE_OCCURED","CRIME_TYPE","NIBRS_CODE","UCR_HIERARCHY","ATT_COMP","LMPD_DIVISION","LMPD_BEAT","PREMISE_TYPE","BLOCK_ADDRESS","UOR_DESC","LEOKA_APPLIES","OFFICER_KILLED","TYPE_OF_ASSIGNMENT","TYPE_OF_ACTIVITY","OFFENSE_CITY","OFFENSE_ZIP"
"2160","80-13-083024","2013-10-28 17:41:00","2013-10-28 17:41:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S FLOYD ST / E ST CATHERINE ST                              ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"2161","80-13-083024","2013-10-28 17:41:00","2013-10-28 17:41:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S FLOYD ST / E ST CATHERINE ST                              ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ALONE","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"2162","80-13-091942","2013-11-30 03:39:00","2013-11-30 03:39:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","800 BLOCK EASTERN PKY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40217"
"2163","80-13-096717","2013-12-18 15:39:00","2013-12-18 15:30:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","812","HIGHWAY / ROAD / ALLEY","4100 BLOCK TOWNE CENTER DR                                  ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40241"
"2164","80-11-082859","2011-10-13 15:58:00","2011-10-13 15:58:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","4500 BLOCK FEGENBUSH LN                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40228"
"2165","80-11-082859","2011-10-13 15:58:00","2011-10-13 15:58:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","624","RESIDENCE / HOME","4500 BLOCK FEGENBUSH LN                                     ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40228"
"2166","80-12-039549","2012-05-18 23:02:00","2012-05-18 23:02:00","ASSAULT","13A","PART I","COMPLETED","6TH DIVISION","625","PARKING LOT / GARAGE","3300 BLOCK BARDSTOWN RD                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40218"
"2167","80-12-039549","2012-05-18 23:02:00","2012-05-18 23:02:00","ASSAULT","13B","PART II","COMPLETED","6TH DIVISION","625","PARKING LOT / GARAGE","3300 BLOCK BARDSTOWN RD                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40218"
"2168","80-12-001034","2012-01-04 20:04:00","2012-01-04 20:04:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","234","RESIDENCE / HOME","1800 BLOCK DIXDALE AVE                                      ","ASSAULT - 4TH DEGREE (DOMESTIC VIOLENCE) NO VISIBLE INJURY","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40210"
"2169","80-12-001034","2012-01-04 20:04:00","2012-01-04 20:04:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","234","RESIDENCE / HOME","1800 BLOCK DIXDALE AVE                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","DOMESTIC DISTURBANCE","LOUISVILLE","40210"
"2170","80-12-025154","2012-03-31 20:04:00","2012-03-31 20:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","RESIDENCE / HOME","500 BLOCK BRENTWOOD AVE                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"2171","80-12-025154","2012-03-31 20:04:00","2012-03-31 20:00:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","500 BLOCK BRENTWOOD AVE                                     ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"2172","80-11-031495","2011-04-27 11:58:00","2011-04-27 11:45:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","GOVERNMENT / PUBLIC BUILDING","300 BLOCK YORK ST                                           ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"2173","80-11-031495","2011-04-27 11:58:00","2011-04-27 11:45:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","GOVERNMENT / PUBLIC BUILDING","300 BLOCK YORK ST                                           ","TERRORISTIC THREATENING 1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"2174","80-10-059603","2010-08-02 20:40:00","2010-08-02 20:30:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","735","HIGHWAY / ROAD / ALLEY","4800 BLOCK OUTER LOOP                                       ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40219"
"2175","80-10-059603","2010-08-02 20:40:00","2010-08-02 20:30:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","735","HIGHWAY / ROAD / ALLEY","4800 BLOCK OUTER LOOP                                       ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40219"
"2176","80-10-059603","2010-08-02 20:40:00","2010-08-02 20:30:00","ASSAULT","13B","PART II","COMPLETED","7TH DIVISION","735","HIGHWAY / ROAD / ALLEY","4800 BLOCK OUTER LOOP                                       ","ASSAULT 3RD-DEPT SOCIAL SERVICES WORKER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40219"
"2177","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2178","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2179","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2180","80-16-035875","2016-04-28 17:03:00","2016-04-28 15:15:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","212","DRUG STORE/DR`S OFFICE/HOSPITAL","3400 BLOCK W BROADWAY                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40211"
"2181","80-12-023142","2012-03-24 16:41:00","2012-03-24 16:41:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","1000 BLOCK S JACKSON ST                                     ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"2182","80-12-023838","2012-03-24 17:54:00","2012-03-24 17:54:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","811","OTHER RESIDENCE (APARTMENT/CONDO)","3900 BLOCK ACCOMACK DR                                      ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40241"
"2183","80-12-023838","2012-03-24 17:54:00","2012-03-24 17:54:00","ASSAULT","13C","PART II","COMPLETED","8TH DIVISION","811","OTHER RESIDENCE (APARTMENT/CONDO)","3900 BLOCK ACCOMACK DR                                      ","OBSTRUCTING GOVERNMENTAL OPERATIONS","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40241"
"2184","80-12-052065","2012-06-30 18:38:00","2012-06-30 18:30:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","RESIDENCE / HOME","1200 BLOCK S PRESTON ST                                     ","MENACING","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40203"
"2185","80-12-062894","2012-07-31 01:11:00","2012-07-31 01:11:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","411","CONVENIENCE STORE","S 2ND ST / W BRECKINRIDGE ST                                ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2186","80-12-063032","2012-08-08 16:41:00","2012-08-08 16:30:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","1400 BLOCK W SOUTHERN HEIGHTS AVE                           ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"2187","80-16-042656","2016-05-20 09:21:00","2016-05-17 21:30:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","411","OTHER RESIDENCE (APARTMENT/CONDO)","700 BLOCK W ORMSBY AVE                                      ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2188","80-16-030831","2016-04-13 13:45:00","2016-04-13 13:45:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","424","HOTEL / MOTEL / ETC.","800 BLOCK PHILLIPS LN                                       ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40209"
"2189","80-12-068340","2012-08-22 23:54:00","2012-08-22 23:54:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","315","BAR / NIGHT CLUB","8000 BLOCK DIXIE HWY                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40258"
"2190","80-12-063687","2012-08-10 19:26:00","2012-08-10 19:26:00","ASSAULT","13A","PART I","COMPLETED","METRO LOUISVILLE","SHV","HIGHWAY / ROAD / ALLEY","ROCKFORD LN / VAN HOOSE RD                                  ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","SHIVELY","40216"
"2191","80-12-068309","2012-08-20 23:03:00","2012-08-20 23:03:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","1600 BLOCK LONGFIELD AVE                                    ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40215"
"2192","80-12-057221","2012-07-19 04:13:00","2012-07-19 04:13:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","612","PARKING LOT / GARAGE","4500 BLOCK POPLAR LEVEL RD                                  ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40213"
"2193","80-12-057457","2012-07-19 22:48:00","2012-07-19 22:48:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","625","RESIDENCE / HOME","4500 BLOCK LANDSIDE DR                                      ","WANTON ENDANGERMENT-2ND DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40220"
"2194","80-12-069263","2012-08-25 01:23:00","2012-08-25 00:06:00","ASSAULT","13C","PART II","COMPLETED","6TH DIVISION","624","HIGHWAY / ROAD / ALLEY","APPLEGROVE LN / NEWPORT RD                                  ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40218"
"2195","80-12-069783","2012-08-31 23:57:00","2012-08-31 23:45:00","ASSAULT","13A","PART I","COMPLETED","3RD DIVISION","315","PARKING LOT / GARAGE","5600 BLOCK BARRETT LN                                       ","ASSAULT - 2ND DEGREE - POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","HANDLING, TRANSPORTING, CUSTODY OF PRISONERS","LOUISVILLE","40272"
"2196","80-12-071010","2012-09-05 18:02:00","2012-09-05 15:15:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","423","HIGHWAY / ROAD / ALLEY","3800 BLOCK TAYLOR BLVD                                      ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40215"
"2197","80-12-068921","2012-09-09 22:15:00","2012-08-16 00:50:00","ASSAULT","13B","PART II","COMPLETED","1ST DIVISION","123","GOVERNMENT / PUBLIC BUILDING","CEDAR ST                                                    ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","",""
"2198","80-12-072512","2012-09-11 05:57:00","2012-09-11 04:57:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","225","RESIDENCE / HOME","1800 BLOCK W HILL ST                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"2199","80-16-041306","2016-05-15 20:38:00","2016-05-15 20:38:00","ASSAULT","13C","PART II","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","@RIVER PARK DR AT I264                                      ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40211"
"2200","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2201","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2202","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2203","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2204","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2205","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2206","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2207","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2208","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2209","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2210","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2211","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2212","80-10-100612","2010-12-21 21:11:00","2010-12-21 21:00:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","411","HIGHWAY / ROAD / ALLEY","I65S TO ST CATHERINE ST                                     ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40203"
"2213","80-17-046592","2017-06-10 02:04:00","2017-06-10 02:04:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","400 BLOCK S 41ST ST                                         ","ASSAULT - 4TH DEGREE (NO VISIBLE INJURY)","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"2214","80-17-046592","2017-06-10 02:04:00","2017-06-10 02:04:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","211","RESIDENCE / HOME","400 BLOCK S 41ST ST                                         ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40212"
"2215","80-17-029977","2017-04-15 22:41:00","2017-04-15 22:41:00","ASSAULT","13C","PART II","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","2100 BLOCK W KENTUCKY ST                                    ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"2216","80-17-029977","2017-04-15 22:41:00","2017-04-15 22:41:00","ASSAULT","13A","PART I","COMPLETED","2ND DIVISION","223","HIGHWAY / ROAD / ALLEY","2100 BLOCK W KENTUCKY ST                                    ","WANTON ENDANGERMENT-1ST DEGREE-POLICE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40210"
"2217","80-18-019662","2018-03-15 22:44:00","2018-03-15 22:44:00","ASSAULT","13C","PART II","COMPLETED","7TH DIVISION","735","DEPARTMENT / DISCOUNT STORE","4800 BLOCK OUTER LOOP                                       ","MENACING","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40219"
"2218","80-18-011307","2018-02-13 14:03:00","2018-02-13 14:03:00","ASSAULT","13C","PART II","COMPLETED","5TH DIVISION","512","GROCERY / SUPERMARKET","1200 BLOCK BARDSTOWN RD                                     ","TERRORISTIC THREATENING 3RD DEGREE","YES","NO","ONE-MAN VEHICLE ALONE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40204"
"2219","80-17-002401","2017-01-09 06:35:00","2017-01-09 06:30:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","424","HOTEL / MOTEL / ETC.","500 BLOCK PHILLIPS LN                                       ","ASSAULT - 2ND DEGREE - DOMESTIC VIOLENCE","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40209"
"2220","80-17-002401","2017-01-09 06:35:00","2017-01-09 06:30:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","HOTEL / MOTEL / ETC.","500 BLOCK PHILLIPS LN                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","RESPONDING TO DISTURBANCE CALLS","LOUISVILLE","40209"
"2221","80-18-030464","2018-04-24 18:59:00","2018-04-24 18:59:00","ASSAULT","13B","PART II","COMPLETED","2ND DIVISION","225","OTHER RESIDENCE (APARTMENT/CONDO)","1700 BLOCK PATTON CT                                        ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","ALL OTHER","LOUISVILLE","40210"
"2222","80-18-030486","2018-04-24 21:30:00","2018-04-24 21:30:00","ASSAULT","13A","PART I","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S JACKSON ST / LAMPTON ST                                   ","DISARMING A PEACE OFFICER","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"2223","80-18-030486","2018-04-24 21:30:00","2018-04-24 21:30:00","ASSAULT","13C","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S JACKSON ST / LAMPTON ST                                   ","MENACING","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"2224","80-18-030486","2018-04-24 21:30:00","2018-04-24 21:30:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","412","HIGHWAY / ROAD / ALLEY","S JACKSON ST / LAMPTON ST                                   ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","ONE-MAN VEHICLE ASSISTED (UNIFORMED OFFICER)","TRAFFIC PURSUIT OR STOPS","LOUISVILLE","40203"
"2225","80-14-047007","2014-06-26 17:08:00","2014-06-26 17:00:00","ASSAULT","13B","PART II","COMPLETED","4TH DIVISION","424","AMUSEMENT PARK","900 BLOCK PHILLIPS LN                                       ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","OTHER ALONE (FOOT, OFF DUTY, ECT)","ALL OTHER","LOUISVILLE","40209"
"2226","80-13-024488","2013-03-29 18:06:00","2013-03-29 18:01:00","ASSAULT","13A","PART I","COMPLETED","1ST DIVISION","112","HIGHWAY / ROAD / ALLEY","S 18TH ST / W BROADWAY                                      ","WANTON ENDANGERMENT-1ST DEGREE","YES","NO","DETECTIVE OR SPECIAL ASSIGNMENT ASSISTED","ALL OTHER","LOUISVILLE","40203"
"2227","80-12-003913","2012-01-14 20:36:00","2012-01-14 18:20:00","ASSAULT","13B","PART II","COMPLETED","3RD DIVISION","331","HIGHWAY / ROAD / ALLEY","2400 BLOCK ADRIENNE WAY                                     ","ASSAULT-3RD DEGREE-POLICE/PROBATION OFFICER-IDENTIFY WEAPON","YES","NO","TWO-MAN VEHICLE (UNIFORMED OFFICER)","ATTEMPTING OTHER ARREST","LOUISVILLE","40216"
