INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,year
80-16-072287,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",               ,380C ,8/24/2016,8600 BLOCK PRESTON HWY                                      ,LOUISVILLE          ,KY,40219,WHITE,M,17,2016
80-16-072287,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",               ,380C ,8/24/2016,8600 BLOCK PRESTON HWY                                      ,LOUISVILLE          ,KY,40219,WHITE,M,17,2016
80-16-072288,VANDALISM,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,8/24/2016,8600 BLOCK PRESTON HWY                                      ,LOUISVILLE          ,KY,40219,WHITE,M,51,2016
80-16-072561,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,4570,8/24/2016,9000 BLOCK DIXIE HWY                                        ,LOUISVILLE          ,KY,40258,WHITE,M,22,2016
80-16-072626,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,380C ,8/24/2016,E OAK ST / SWAN ST                                          ,LOUISVILLE          ,KY,40204,WHITE,M,41,2016
80-16-072626,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,380C ,8/24/2016,E OAK ST / SWAN ST                                          ,LOUISVILLE          ,KY,40204,WHITE,M,41,2016
80-16-072626,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BERETTA (INDUSTRIA S.A.)                               ,950,25C  ,8/24/2016,E OAK ST / SWAN ST                                          ,LOUISVILLE          ,KY,40204,WHITE,M,41,2016
80-16-071989,AGGRAVATED ASSAULT,NULL,ARMSCO                                                 ,ARMS CO.       ,     ,8/23/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40212,WHITE,M,59,2016
80-16-071982,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,380C ,8/23/2016,NEW CUT RD / OUTER LOOP                                     ,LOUISVILLE          ,KY,40214,BLACK,M,19,2016
80-16-071982,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",KIMBER                                                 ,CARRY SERIES   ,45C  ,8/23/2016,NEW CUT RD / OUTER LOOP                                     ,LOUISVILLE          ,KY,40214,NULL, ,NULL,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",ERMA/ERMA WERKE                                        ,               ,22C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",ERMA/ERMA WERKE                                        ,               ,22C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",ERMA/ERMA WERKE                                        ,               ,22C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-072183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,40C  ,8/23/2016,S 26TH ST / GARLAND AVE                                     ,LOUISVILLE          ,KY,40211,BLACK,F,26,2016
80-16-071837,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",BRYCO ARMS                                             ,               ,380C ,8/22/2016,2700 BLOCK FERN VALLEY RD                                   ,LOUISVILLE          ,KY,40213,WHITE,M,47,2016
80-16-071964,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,8/22/2016,300 BLOCK N 33RD ST                                         ,LOUISVILLE          ,KY,40212,BLACK,M,26,2016
80-16-071756,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BRYCO ARMS                                             ,J-25           ,25C  ,8/22/2016,700 BLOCK W. MUHAMMAD ALI                                   ,LOUISVILLE          ,KY,          ,BLACK,M,22,2016
80-16-071756,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",BRYCO ARMS                                             ,J-25           ,25C  ,8/22/2016,700 BLOCK W. MUHAMMAD ALI                                   ,LOUISVILLE          ,KY,          ,BLACK,M,22,2016
80-16-071859,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",EUROPEAN AMERICAN ARMS CORP.                           ,               ,38C  ,8/22/2016,DIXIE HWY / FLOWERVALE LN                                   ,LOUISVILLE          ,KY,40272,WHITE,M,42,2016
80-16-071294,ACCIDENTAL SHOOTING,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,9MM  ,8/21/2016,5500 BLOCK LANDCROSS DR                                     ,LOUISVILLE          ,KY,40216,NULL,NULL,NULL,2016
80-16-070058,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",CENTURY ARMS INTERNATIONAL                             ,               ,9MM  ,8/21/2016,700 BLOCK E MUHAMMAD ALI BLVD                               ,LOUISVILLE          ,KY,40202,BLACK,M,17,2016
80-16-071331,ROBBERY,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",MODEL 22/22C (4,40C  ,8/20/2016,3600 BLOCK TAYLOR BLVD                                      ,LOUISVILLE          ,KY,40215,BLACK,M,45,2016
80-16-071331,ROBBERY,NULL,"GLOCK, INC.                                            ",MODEL 19/19C (9,     ,8/20/2016,600 BLOCK S 37TH ST                                         ,LOUISVILLE          ,KY,40211,BLACK,M,45,2016
80-16-071076,AGGRAVATED ASSAULT,NULL,RUGER                                                  ,HANDGUNS: P SER,9MM  ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40220,NULL,NULL,NULL,2016
80-16-071076,AGGRAVATED ASSAULT,NULL,FIE                                                    ,TITAN          ,25C  ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40220,NULL,NULL,NULL,2016
80-16-071363,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40           ,40C  ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-071363,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40           ,40C  ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-071363,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",DIAMOND ARMS CO.                                       ,DB380          ,380C ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-071363,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",DIAMOND ARMS CO.                                       ,DB380          ,380C ,8/20/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-071123,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",J. P. SAUER & SONS                                     ,               ,765M ,8/20/2016,7TH STREET RD / BERRY BLVD                                  ,LOUISVILLE          ,KY,40216,WHITE,M,30,2016
80-16-070789,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,P250           ,40C  ,8/19/2016,600 BLOCK EASTLAWN AVE                                      ,LOUISVILLE          ,KY,40211,BLACK,M,31,2016
80-16-070507,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","GLOCK, INC.                                            ",               ,9MM  ,8/18/2016,0 BLOCK COLLEGE CT                                          ,LOUISVILLE          ,KY,40203,BLACK,M,18,2016
80-16-066762,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,BODYGUARD      ,380C ,8/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-066762,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,BODYGUARD      ,380C ,8/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-066762,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,BODYGUARD      ,380C ,8/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,BLACK,M,NULL,2016
80-16-070787,AGGRAVATED ASSAULT,NULL,RUGER                                                  ,SR9C           ,9MM  ,8/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40216,BLACK,F,22,2016
80-16-070787,AGGRAVATED ASSAULT,NULL,RUGER                                                  ,SR9C           ,9MM  ,8/18/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40216,BLACK,F,22,2016
80-16-070118,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",JENNINGS FIREARMS                                      ,JENNINGS FIREAR,380C ,8/17/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,          ,WHITE,M,23,2016
80-16-070110,NARCOTICS,"SHOTGUN, SINGLE-SHOT                                   ",                                                       ,               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, SINGLE-SHOT                                   ",                                                       ,               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, BOLT ACTION                                     ",                                                       ,               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, BOLT ACTION                                     ",                                                       ,               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, SINGLE-SHOT                                   ",                                                       ,               ,410G ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, SINGLE-SHOT                                   ",                                                       ,               ,410G ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, BOLT ACTION                                     ","REMINGTON ARMS CO., INC.                               ",               ,243C ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, BOLT ACTION                                     ","REMINGTON ARMS CO., INC.                               ",               ,243C ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ","REMINGTON ARMS CO., INC.                               ",               ,12GA ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, PUMP ACTION                                   ","REMINGTON ARMS CO., INC.                               ",               ,12GA ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, PERCUSSION                                      ","TRADITIONS, INC                                        ",               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, PERCUSSION                                      ","TRADITIONS, INC                                        ",               ,     ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, DOUBLE BARREL                                 ",                                                       ,               ,20GA ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"SHOTGUN, DOUBLE BARREL                                 ",                                                       ,               ,20GA ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, FLINTLOCK                                       ",THOMPSON CENTER ARMS CO.                               ,               ,54C  ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, FLINTLOCK                                       ",THOMPSON CENTER ARMS CO.                               ,               ,54C  ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, LEVER ACTION                                    ",MARLIN FIREARMS CO.                                    ,               ,30C  ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070110,NARCOTICS,"RIFLE, LEVER ACTION                                    ",MARLIN FIREARMS CO.                                    ,               ,30C  ,8/17/2016,9600 BLOCK VERNETTA WAY                                     ,LOUISVILLE          ,KY,40291,WHITE,M,61,2016
80-16-070031,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,L-380          ,380C ,8/16/2016,1000 BLOCK S 32ND ST                                        ,LOUISVILLE          ,KY,40211,BLACK,M,17,2016
80-16-070031,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,L-380          ,380C ,8/16/2016,1000 BLOCK S 32ND ST                                        ,LOUISVILLE          ,KY,40211,BLACK,M,17,2016
80-16-070031,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",LORCIN ENGINEER                                        ,L-380          ,380C ,8/16/2016,1000 BLOCK S 32ND ST                                        ,LOUISVILLE          ,KY,40211,BLACK,M,17,2016
80-16-069788,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",FIE                                                    ,               ,25C  ,8/16/2016,N 21ST ST                                                   ,LOUISVILLE          ,KY,40203,WHITE,M,19,2016
80-16-069650,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,P239           ,40C  ,8/15/2016,3800 BLOCK MELDA LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,16,2016
80-16-069650,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SIG-SAUER                                              ,P239           ,40C  ,8/15/2016,3800 BLOCK MELDA LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,16,2016
80-16-069650,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/15/2016,3800 BLOCK MELDA LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,16,2016
80-16-069650,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/15/2016,3800 BLOCK MELDA LN                                         ,LOUISVILLE          ,KY,40219,BLACK,M,16,2016
80-16-069711,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",RUGER                                                  ,               ,40C  ,8/15/2016,BEECHER ST / TAYLOR BLVD                                    ,LOUISVILLE          ,KY,40215,BLACK,M,21,2016
80-16-069148,STOLEN PROPERTY,NULL,HIPOINT                                                ,HI-POINT       ,     ,8/14/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40212,WHITE,M,37,2016
80-16-069152,WPNS LAW VIOLATION,NULL,TAURUS INTERNATIONAL                                   ,TAURUS         ,     ,8/14/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,          ,NULL,NULL,NULL,2016
80-16-068912,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD9VE          ,9MM  ,8/13/2016,CALDWELL ST / S CLAY ST                                     ,LOUISVILLE          ,KY,40203,BLACK,M,20,2016
80-16-069158,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",JIMENEZ ARMS                                           ,               ,380C ,8/13/2016,DR W J HODGE ST / W MUHAMMAD ALI BLVD                       ,LOUISVILLE          ,KY,40203,BLACK,F,27,2016
80-16-068891,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: M&P   ,9MM  ,8/13/2016,S 43RD ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,17,2016
80-16-068891,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: M&P   ,9MM  ,8/13/2016,S 43RD ST / W BROADWAY                                      ,LOUISVILLE          ,KY,40211,BLACK,M,17,2016
80-16-068279,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,50C  ,8/12/2016,1000 BLOCK LIBERTY CT                                       ,LOUISVILLE          ,KY,40203,BLACK,M,44,2016
80-16-068592,NARCOTICS,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,8/12/2016,1800 BLOCK CARL CT                                          ,LOUISVILLE          ,KY,40215,BLACK,M,24,2016
80-16-068792,NARCOTICS,"PISTOL, DERRINGER                                      ",DERRINGER CORP.                                        ,               ,22C  ,8/12/2016,4900 BLOCK FEYS DR                                          ,LOUISVILLE          ,KY,40216,WHITE,M,34,2016
80-16-068750,ACCIDENTAL SHOOTING,"PISTOL, SEMI-AUTOMATIC                                 ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/12/2016,600 BLOCK W JEFFERSON ST                                    ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016
80-16-068603,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ","SPRINGFIELD ARMORY,GENESEO,IL                          ",               ,45C  ,8/12/2016,GREENBELT HWY / JOHNSONTOWN RD                              ,LOUISVILLE          ,KY,40272,WHITE,M,25,2016
80-16-068568,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,PISTOLS: M&P   ,40C  ,8/11/2016,1200 BLOCK BRASHEAR DR                                      ,LOUISVILLE          ,KY,40210,NULL,NULL,NULL,2016
80-16-068349,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,8/11/2016,3000 BLOCK RIVER PARK DR                                    ,LOUISVILLE          ,KY,40211,BLACK,M,27,2016
80-16-068440,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,SD40           ,40C  ,8/11/2016,7100 BLOCK BROKEN BOW DR                                    ,LOUISVILLE          ,KY,40258,WHITE,F,40,2016
80-16-068440,WPNS LAW VIOLATION,"SHOTGUN, PUMP ACTION                                   ",MORRISBURG                                             ,               ,12GA ,8/11/2016,7100 BLOCK BROKEN BOW DR                                    ,LOUISVILLE          ,KY,40258,WHITE,F,40,2016
80-16-068179,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC                                 ",SMITH & WESSON                                         ,               ,9MM  ,8/10/2016,0 BLOCK WELBY RD                                            ,LOUISVILLE          ,KY,40216,NULL, ,NULL,2016
80-16-067928,AGGRAVATED ASSAULT,"PISTOL, REVOLVER                                       ",CHARTER ARMS CO                                        ,UNDERCOVER     ,38C  ,8/10/2016,1500 BLOCK FRANKFORT AVE                                    ,LOUISVILLE          ,KY,          ,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,"PISTOL, REVOLVER                                       ",CHARTER ARMS CO                                        ,UNDERCOVER     ,38C  ,8/10/2016,1500 BLOCK FRANKFORT AVE                                    ,LOUISVILLE          ,KY,          ,BLACK,M,19,2016
80-16-067915,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","KELTEC, CNC INDUSTRIES, INC                            ",               ,9MM  ,8/10/2016,3200 BLOCK GOLDEN TURTLE CIR                                ,LOUISVILLE          ,KY,40218,BLACK,F,21,2016
80-16-067899,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",                                                       ,               ,22C  ,8/10/2016,4800 BLOCK BRENDA DR                                        ,LOUISVILLE          ,KY,40219,BLACK,M,24,2016
80-16-067899,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",HEGE WAFFEN                                            ,               ,38C  ,8/10/2016,4800 BLOCK BRENDA DR                                        ,LOUISVILLE          ,KY,40219,BLACK,M,24,2016
80-16-068234,SIMPLE ASSAULT,"PISTOL, SEMI-AUTOMATIC                                 ","REMINGTON ARMS CO., INC.                               ",               ,380C ,8/10/2016,7200 BLOCK GREEN OAK DR                                     ,LOUISVILLE          ,KY,40258,WHITE,F,18,2016
80-16-068176,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/10/2016,S 3RD ST / W BRECKINRIDGE ST                                ,LOUISVILLE          ,KY,40203,BLACK,M,23,2016
80-16-068176,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/10/2016,S 3RD ST / W BRECKINRIDGE ST                                ,LOUISVILLE          ,KY,40203,BLACK,M,23,2016
80-16-068176,NARCOTICS,"RIFLE, SEMI-AUTOMATIC                                  ",TAURUS INTERNATIONAL                                   ,MODEL PT111    ,9MM  ,8/10/2016,S 3RD ST / W BRECKINRIDGE ST                                ,LOUISVILLE          ,KY,40203,BLACK,M,23,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.                                            ",MODEL 22/22C (4,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.                                            ",MODEL 22/22C (4,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,TAURUS INTERNATIONAL                                   ,MODEL PT-24/7  ,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,TAURUS INTERNATIONAL                                   ,MODEL PT-24/7  ,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,RUGER                                                  ,HANDGUNS: P SER,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-067928,AGGRAVATED ASSAULT,NULL,RUGER                                                  ,HANDGUNS: P SER,     ,8/10/2016,S 4TH ST / W CARDINAL BLVD                                  ,LOUISVILLE          ,KY,40208,BLACK,M,19,2016
80-16-068183,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",                                                       ,               ,9MM  ,8/10/2016,S CLAY ST / E JACOB ST                                      ,LOUISVILLE          ,KY,40203,WHITE,F,21,2016
80-16-067623,ROBBERY,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,8/9/2016,3RD ST / W BROADWAY                                         ,LOUISVILLE          ,KY,          ,NULL,NULL,NULL,2016
80-16-067623,ROBBERY,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,               ,9MM  ,8/9/2016,3RD ST / W BROADWAY                                         ,LOUISVILLE          ,KY,          ,NULL,NULL,NULL,2016
80-16-067615,STOLEN PROPERTY,NULL,SIG-SAUER                                              ,               ,     ,8/9/2016,E BRECKINRIDGE ST / S HANCOCK ST                            ,LOUISVILLE          ,KY,40203,NULL,NULL,NULL,2016
80-16-067584,WPNS LAW VIOLATION,"PISTOL, REVOLVER                                       ",TAURUS INTERNATIONAL                                   ,               ,410G ,8/8/2016,1000 BLOCK OAKWOOD AVE                                      ,LOUISVILLE          ,KY,40215,WHITE,M,34,2016
80-16-067497,ACCIDENTAL SHOOTING,"PISTOL, SEMI-AUTOMATIC                                 ",SPRINGFIELD FIR                                        ,SPRINGFIELD FIR,45C  ,8/8/2016,18700 BLOCK WILLINGTON CIR                                  ,LOUISVILLE          ,KY,40245,NULL,NULL,NULL,2016
80-16-067279,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.                                            ",MODEL 22/22C (4,     ,8/8/2016,800 BLOCK BARRET AVE                                        ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016
80-16-067279,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.                                            ",MODEL 22/22C (4,     ,8/8/2016,800 BLOCK BARRET AVE                                        ,LOUISVILLE          ,KY,40202,NULL,NULL,NULL,2016
80-16-067329,AGGRAVATED ASSAULT,"RIFLE, SEMI-AUTOMATIC                                  ",O. F. MOSSBERG & SONS                                  ,               ,22C  ,8/8/2016,FERN CREEK PARK                                             ,LOUISVILLE          ,KY,40291,BLACK,M,19,2016
80-16-067205,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",DIAMOND ARMS CO.                                       ,               ,9MM  ,8/7/2016,1300 BLOCK ARLING AVE                                       ,LOUISVILLE          ,KY,40215,WHITE,M,22,2016
80-16-066981,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC                                 ",HIPOINT                                                ,JH-45          ,45C  ,8/7/2016,500 BLOCK S 8TH ST                                          ,LOUISVILLE          ,KY,40203,BLACK,M,26,2016
